Opening_Balance (Rs.),No_of_stocks,Buy_Date,Buy_Price (Rs.),Invested (Rs.),Summary_Buy,Sell_Date,Sell_Price (Rs.),Profit (Rs.),Returns (%),Portfolio_Value (Rs.),Summary_Sell
10000.0,21.0,2022-07-21,454.85,9551.85,0.2444,2022-10-04,407.9,-985.95,-10.32,9014.05,-0.5928
9014.05,21.0,2022-10-06,414.1,8696.1,-0.9996,2023-06-07,567.95,3230.85,37.15,12244.9,-0.5614
12244.9,21.0,2023-06-08,559.7,11753.7,0.9017,2023-12-11,720.8,3383.1,28.78,15628.0,-0.5592
15628.0,21.0,2023-12-12,715.4,15023.4,-0.9852,2023-12-27,740.9,535.5,3.56,16163.5,-0.5204
16163.5,21.0,2023-12-28,753.9,15831.9,-0.996,2024-06-10,975.15,4646.25,29.35,20809.75,-0.5416
