Opening_Balance (Rs.),No_of_stocks,Buy_Date,Buy_Price (Rs.),Invested (Rs.),Summary_Buy,Sell_Date,Sell_Price (Rs.),Profit (Rs.),Returns (%),Portfolio_Value (Rs.),Summary_Sell
10000.0,2.0,2022-07-21,4057.05,8114.1,0.2444,2022-10-04,3579.6,-954.9,-11.77,9045.1,-0.5928
9045.1,2.0,2022-10-06,3594.65,7189.3,-0.9996,2023-06-07,4780.75,2372.2,33.0,11417.3,-0.5614
11417.3,2.0,2023-06-08,4800.65,9601.3,0.9017,2023-12-11,6138.4,2675.5,27.87,14092.8,-0.5592
14092.8,2.0,2023-12-12,6254.2,12508.4,-0.9852,2023-12-27,6709.65,910.9,7.28,15003.7,-0.5204
15003.7,2.0,2023-12-28,6703.3,13406.6,-0.996,2024-06-10,9733.05,6059.5,45.2,21063.2,-0.5416
