Opening_Balance (Rs.),No_of_stocks,Buy_Date,Buy_Price (Rs.),Invested (Rs.),Summary_Buy,Sell_Date,Sell_Price (Rs.),Profit (Rs.),Returns (%),Portfolio_Value (Rs.),Summary_Sell
10000.0,50.0,2022-07-21,198.6,9930.0,0.2444,2022-10-04,223.25,1232.5,12.41,11232.5,-0.5928
11232.5,48.0,2022-10-06,233.5,11208.0,-0.9996,2023-06-07,230.7,-134.4,-1.2,11098.1,-0.5614
11098.1,48.0,2023-06-08,228.1,10948.8,0.9017,2023-12-11,353.65,6026.4,55.04,17124.5,-0.5592
17124.5,49.0,2023-12-12,347.5,17027.5,-0.9852,2023-12-27,365.6,886.9,5.21,18011.4,-0.5204
18011.4,47.0,2023-12-28,380.95,17904.65,-0.996,2024-06-10,477.7,4547.25,25.4,22558.65,-0.5416
