Opening_Balance (Rs.),No_of_stocks,Buy_Date,Buy_Price (Rs.),Invested (Rs.),Summary_Buy,Sell_Date,Sell_Price (Rs.),Profit (Rs.),Returns (%),Portfolio_Value (Rs.),Summary_Sell
10000.0,6.0,2019-09-27,1472.65,8835.9,0.977,2020-03-19,843.1,-3777.3,-42.75,6222.7,-0.5616
6222.7,7.0,2020-03-20,864.7,6052.9,-0.9764,2022-02-09,1888.8,7168.7,118.43,13391.4,-0.5038
13391.4,7.0,2022-02-10,1901.0,13307.0,0.872,2022-04-18,1738.35,-1138.55,-8.56,12252.85,-0.5567
12252.85,7.0,2022-04-19,1705.75,11940.25,-0.9809,2022-10-04,1871.55,1160.6,9.72,13413.45,-0.5928
13413.45,7.0,2022-10-06,1912.95,13390.65,-0.9996,2023-06-07,2315.5,2817.85,21.04,16231.3,-0.5614
16231.3,6.0,2023-06-08,2340.3,14041.8,0.9017,2023-12-11,3385.8,6273.0,44.67,22504.3,-0.5592
22504.3,6.0,2023-12-12,3342.4,20054.4,-0.9852,2023-12-27,3544.0,1209.6,6.03,23713.9,-0.5204
23713.9,6.0,2023-12-28,3518.05,21108.3,-0.996,2024-06-10,3543.75,154.2,0.73,23868.1,-0.5416
