Opening_Balance (Rs.),No_of_stocks,Buy_Date,Buy_Price (Rs.),Invested (Rs.),Summary_Buy,Sell_Date,Sell_Price (Rs.),Profit (Rs.),Returns (%),Portfolio_Value (Rs.),Summary_Sell
10000.0,24.0,2019-09-27,401.7,9640.8,0.977,2020-03-19,360.4,-991.2,-10.28,9008.8,-0.5616
9008.8,24.0,2020-03-20,365.25,8766.0,-0.9764,2022-02-09,886.45,12508.8,142.7,21517.6,-0.5038
21517.6,24.0,2022-02-10,894.3,21463.2,0.872,2022-04-18,927.5,796.8,3.71,22314.4,-0.5567
22314.4,24.0,2022-04-19,922.0,22128.0,-0.9809,2022-10-04,944.55,541.2,2.45,22855.6,-0.5928
22855.6,23.0,2022-10-06,953.9,21939.7,-0.9996,2023-06-07,1014.6,1396.1,6.36,24251.7,-0.5614
24251.7,24.0,2023-06-08,987.0,23688.0,0.9017,2023-12-11,1241.4,6105.6,25.78,30357.3,-0.5592
30357.3,24.0,2023-12-12,1218.0,29232.0,-0.9852,2023-12-27,1252.45,826.8,2.83,31184.1,-0.5204
31184.1,24.0,2023-12-28,1262.15,30291.6,-0.996,2024-06-10,1513.1,6022.8,19.88,37206.9,-0.5416
